RPT_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,zipcode
06/12/2012,BURGLARY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10453
06/11/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11208
10/24/2006,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10027
12/03/2008,GRAND LARCENY,COMPLETED,FELONY,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,10452
05/15/2017,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10025
07/27/2011,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE - APT. HOUSE,10304
04/10/2012,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10459
01/15/2011,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10302
10/27/2009,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11211
01/20/2017,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11203
01/19/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10472
10/22/2007,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11228
06/04/2011,BURGLARY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10472
10/26/2017,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11221
02/19/2012,GAMBLING,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING,11221
07/26/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11101
01/27/2018,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11229
10/04/2013,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10029
06/27/2008,ROBBERY,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11233
02/17/2017,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10033
10/15/2018,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10038
06/26/2016,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10306
11/22/2017,ADMINISTRATIVE CODE,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11208
01/11/2010,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10451
09/15/2008,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE - APT. HOUSE,10303
06/11/2012,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,10473
03/12/2019,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11220
06/15/2016,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10304
05/21/2011,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11229
12/13/2011,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11210
10/22/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11373
07/25/2014,BURGLARY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10306
04/05/2019,BURGLARY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10474
08/07/2009,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10305
09/25/2013,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10035
03/18/2008,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10027
05/17/2011,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11426
10/01/2014,SEX CRIMES,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10314
08/28/2015,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11368
10/22/2015,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11214
02/20/2018,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11434
09/06/2013,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11208
10/22/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10027
10/09/2018,THEFT-FRAUD,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11221
01/04/2016,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,10303
04/25/2007,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11213
06/14/2010,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10039
10/22/2007,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10473
01/18/2012,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10001
10/17/2018,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11230
05/28/2018,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11238
11/15/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11203
03/30/2013,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10037
11/28/2011,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11101
01/02/2016,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11237
05/20/2006,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10459
01/19/2010,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,10459
12/16/2007,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11368
12/13/2016,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
10/05/2019,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11216
12/21/2007,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11236
02/11/2017,THEFT-FRAUD,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11365
04/13/2006,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10457
01/04/2009,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11232
08/08/2019,RAPE,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10031
09/16/2011,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10458
10/27/2021,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10035
09/22/2006,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11206
11/22/2011,THEFT-FRAUD,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10128
01/26/2009,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,REAR OF,RESIDENCE - PUBLIC HOUSING,10027
05/17/2020,DANGEROUS WEAPONS,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11365
09/13/2019,GRAND LARCENY OF MOTOR VEHICLE,COMPLETED,FELONY,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10304
06/14/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11433
03/30/2006,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10470
05/03/2011,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,10307
05/20/2008,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10035
07/24/2007,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11225
12/09/2008,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10002
04/12/2018,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11355
04/19/2021,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10454
09/29/2011,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - PUBLIC HOUSING,10454
01/13/2011,DANGEROUS WEAPONS,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10453
09/05/2015,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11221
02/13/2014,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11357
09/23/2007,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING,11207
11/23/2017,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11218
03/18/2015,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10025
07/14/2020,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11203
01/30/2013,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11230
12/30/2016,THEFT-FRAUD,ATTEMPTED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11201
10/07/2011,DANGEROUS DRUGS,COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10026
01/26/2013,GRAND LARCENY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11413
11/21/2020,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE-HOUSE,11209
10/31/2008,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11373
10/24/2007,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11377
05/01/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10455
04/09/2007,DANGEROUS DRUGS,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11212
10/30/2010,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11212
10/03/2017,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11377
02/02/2013,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11206
11/28/2021,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11210
01/10/2009,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11365
12/16/2021,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10011
09/05/2008,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11234
11/30/2006,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11235
06/02/2017,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11691
07/04/2009,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10036
06/01/2013,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11208
07/24/2015,FELONY ASSAULT,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10035
05/11/2015,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10027
07/26/2015,ROBBERY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10025
12/02/2015,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11216
08/11/2015,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11224
05/24/2021,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10465
02/02/2018,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11220
10/08/2020,PETIT LARCENY,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10309
06/29/2016,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11418
06/14/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11368
01/31/2006,BURGLARY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10009
05/24/2007,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11365
03/19/2008,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - PUBLIC HOUSING,10303
05/09/2014,SEX CRIMES,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,10314
01/23/2011,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10029
02/13/2014,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11212
03/16/2008,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE-HOUSE,10460
01/30/2017,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,11360
03/19/2014,GRAND LARCENY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11362
03/18/2008,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11234
11/20/2007,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11223
08/04/2016,DANGEROUS WEAPONS,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11212
05/03/2020,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11239
09/18/2017,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11217
03/16/2014,PETIT LARCENY,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,10307
07/02/2019,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,11428
08/16/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11224
10/04/2007,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11212
05/01/2019,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11373
08/25/2017,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10025
04/03/2015,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,10009
06/06/2013,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10460
07/03/2012,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11369
07/16/2009,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10457
06/25/2015,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BROOKLYN,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,11212
04/22/2011,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11206
08/23/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
05/10/2006,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11226
10/16/2017,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE-HOUSE,10467
05/12/2021,FRAUDS,ATTEMPTED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10019
05/26/2014,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10040
02/24/2012,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10454
10/14/2012,RAPE,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11237
02/20/2008,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10461
11/24/2013,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11221
01/04/2013,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11225
10/17/2021,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10469
10/31/2009,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - PUBLIC HOUSING,11106
12/13/2017,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11418
06/24/2006,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10312
02/04/2015,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11237
06/19/2013,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10034
01/15/2017,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10457
08/10/2012,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10456
04/20/2017,FELONY ASSAULT,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10457
04/01/2007,ROBBERY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11238
02/23/2014,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10455
11/23/2018,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,10461
07/25/2017,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10466
03/24/2016,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10473
12/06/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11205
09/09/2008,BURGLARY,ATTEMPTED,FELONY,QUEENS,REAR OF,RESIDENCE-HOUSE,11415
12/23/2008,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
10/28/2017,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11236
01/26/2012,THEFT-FRAUD,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11214
02/03/2015,FORGERY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11223
11/07/2010,THEFT-FRAUD,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11369
06/09/2010,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11213
12/27/2016,POSSESSION OF STOLEN PROPERTY,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11217
01/13/2020,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10458
05/02/2012,ROBBERY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11208
07/18/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11235
11/03/2010,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11207
03/29/2009,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11207
05/30/2017,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10454
02/13/2011,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10308
07/29/2011,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10039
10/14/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
02/14/2018,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
06/16/2012,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING,11224
04/18/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11374
10/23/2014,THEFT-FRAUD,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10002
09/19/2014,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11102
04/07/2016,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10029
08/28/2012,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11420
05/18/2007,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11216
07/31/2013,BURGLARY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10012
01/24/2018,ROBBERY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11433
05/04/2008,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,10035
03/22/2006,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11213
